Format Version,1.25,Take Name,Take 2026-01-03 06.50.43 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-01-03 06.50.47.145 午後,Capture Start Frame,724866,Total Frames in Take,2292,Total Exported Frames,2292,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
5,0.050000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-9.348230,1.096900,-18.555401,14.464700,-0.033753,-11.886400,-11.742100,-0.218264,12.618100,6.626090,-0.847829,17.823599,0.001405,0.344153,-0.000982,0.938912,476.722351,73.107681,563.490540,490.858093,76.303711,545.221069,485.801331,68.754471,585.553833,469.354065,77.213409,542.823059,460.876007,70.159134,580.364197,490.862213,76.313850,545.225830,485.749084,68.751335,585.523499,469.356049,77.199348,542.834778,460.921265,70.166191,580.377075
6,0.060000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-9.348230,1.096900,-18.555401,14.464700,-0.033753,-11.886400,-11.742100,-0.218264,12.618100,6.626090,-0.847829,17.823599,0.001412,0.344254,-0.000902,0.938875,476.723206,73.112854,563.490601,490.854492,76.312202,545.218384,485.807556,68.759460,585.551758,469.349854,77.218918,542.825073,460.880920,70.160835,580.367493,490.857605,76.319450,545.224121,485.761261,68.758339,585.523193,469.352234,77.208130,542.834839,460.921112,70.165535,580.379700
7,0.070000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-9.348230,1.096900,-18.555401,14.464700,-0.033753,-11.886400,-11.742100,-0.218264,12.618100,6.626090,-0.847829,17.823599,0.001418,0.344166,-0.000918,0.938907,476.720276,73.116150,563.487915,490.855133,76.315018,545.218262,485.800354,68.762436,585.550659,469.350952,77.222481,542.820923,460.874725,70.164688,580.361755,490.859222,76.324112,545.222229,485.750671,68.759560,585.524292,469.352142,77.210266,542.829895,460.918396,70.170692,580.374573
8,0.080000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-9.348230,1.096900,-18.555401,14.464700,-0.033753,-11.886400,-11.742100,-0.218264,12.618100,6.626090,-0.847829,17.823599,0.001471,0.344222,-0.001017,0.938887,476.718109,73.108574,563.487366,490.851471,76.304901,545.216125,485.799835,68.752159,585.548889,469.347198,77.217186,542.821411,460.873901,70.160072,580.363037,490.854767,76.313843,545.219543,485.750824,68.749413,585.522705,469.349854,77.205399,542.829529,460.916473,70.165672,580.377258
9,0.090000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-9.348230,1.096900,-18.555401,14.464700,-0.033753,-11.886400,-11.742100,-0.218264,12.618100,6.626090,-0.847829,17.823599,0.001458,0.344178,-0.001019,0.938903,476.715271,73.111626,563.486938,490.850342,76.307541,545.216980,485.794983,68.755798,585.549438,469.346283,77.219688,542.820190,460.869507,70.163483,580.361267,490.856995,76.315193,545.221191,485.745697,68.754341,585.521973,469.345337,77.208733,542.830200,460.912323,70.168297,580.373840
10,0.100000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-9.348230,1.096900,-18.555401,14.464700,-0.033753,-11.886400,-11.742100,-0.218264,12.618100,6.626090,-0.847829,17.823599,0.001444,0.344179,-0.001003,0.938902,476.714813,73.110527,563.482849,490.849731,76.306709,545.212830,485.794739,68.755424,585.545410,469.345673,77.217957,542.816040,460.869232,70.162033,580.357178,490.855652,76.315575,545.217590,485.743835,68.753044,585.516785,469.345337,77.205544,542.826294,460.913788,70.168015,580.369751
11,0.110000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-9.348230,1.096900,-18.555401,14.464700,-0.033753,-11.886400,-11.742100,-0.218264,12.618100,6.626090,-0.847829,17.823599,0.001418,0.344165,-0.000947,0.938908,476.715881,73.110313,563.484741,490.850952,76.308067,545.215088,485.795715,68.756554,585.547607,469.346832,77.216629,542.817688,460.870148,70.160019,580.358643,490.854034,76.314728,545.220947,485.743317,68.755943,585.519348,469.349121,77.207405,542.822510,460.916534,70.163269,580.375427
12,0.120000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-9.348230,1.096900,-18.555401,14.464700,-0.033753,-11.886400,-11.742100,-0.218264,12.618100,6.626090,-0.847829,17.823599,0.001371,0.344169,-0.000942,0.938906,476.715607,73.108353,563.484192,490.850403,76.305168,545.214172,485.795776,68.756813,585.547363,469.346191,77.212631,542.816895,460.870117,70.158806,580.358521,490.854004,76.314560,545.218933,485.744415,68.753853,585.519592,469.347534,77.199692,542.827026,460.915802,70.165352,580.370544
13,0.130000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-9.348230,1.096900,-18.555401,14.464700,-0.033753,-11.886400,-11.742100,-0.218264,12.618100,6.626090,-0.847829,17.823599,0.001394,0.344197,-0.001042,0.938896,476.711304,73.109734,563.482727,490.845642,76.303185,545.211792,485.791901,68.756905,585.545410,469.341522,77.214981,542.815674,460.866211,70.163864,580.358032,490.851715,76.310631,545.215088,485.741119,68.755692,585.518127,469.341309,77.204178,542.826843,460.910400,70.168480,580.370056
14,0.140000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-9.348230,1.096900,-18.555401,14.464700,-0.033753,-11.886400,-11.742100,-0.218264,12.618100,6.626090,-0.847829,17.823599,0.001397,0.344155,-0.001000,0.938911,476.712738,73.111732,563.482422,490.848450,76.306870,545.212830,485.791718,68.758865,585.545776,469.344452,77.217110,542.814880,460.866394,70.164101,580.356262,490.853882,76.316574,545.219666,485.743073,68.755775,585.515442,469.344849,77.203659,542.824097,460.908478,70.170967,580.369934
